Date,Open,High,Low,Close
2017-08-31,4567.9,4749.9,4567.9,4718.2
2017-08-30,4586.6,4641.1,4481.1,4569.0
2017-08-29,4385.1,4644.2,4336.7,4587.1
2017-08-28,4330.7,4395.2,4175.7,4383.8
2017-08-27,4340.2,4405.7,4305.0,4331.8
2017-08-26,4351.5,4364.0,4243.6,4341.7
2017-08-25,4324.1,4461.2,4277.4,4351.5
2017-08-24,4135.0,4370.8,4093.0,4325.2
2017-08-23,4086.9,4248.6,4055.9,4129.1
2017-08-22,3998.9,4140.0,3600.0,4074.0
2017-08-21,4066.3,4093.5,3956.4,4002.5
2017-08-20,4145.0,4192.0,4040.9,4064.3
2017-08-19,4088.2,4184.1,3920.0,4145.1
2017-08-18,4269.7,4359.0,3957.0,4090.2
2017-08-17,4386.4,4489.1,4178.1,4260.0
2017-08-16,4160.0,4403.6,3928.1,4386.3
2017-08-15,4321.0,4430.0,3841.9,4151.9
2017-08-14,4061.6,4330.3,3969.3,4319.5
2017-08-13,3866.2,4183.7,3836.1,4053.3
2017-08-12,3643.4,3965.4,3590.0,3865.5
2017-08-11,3404.7,3690.6,3380.0,3644.1
2017-08-10,3340.2,3444.4,3310.0,3407.9
2017-08-09,3415.0,3424.4,3236.8,3339.9
2017-08-08,3395.0,3482.9,3343.8,3415.0
2017-08-07,3232.5,3440.0,3190.0,3396.7
2017-08-06,3255.0,3309.8,3156.0,3227.9
2017-08-05,2860.0,3331.9,2855.0,3256.4
2017-08-04,2790.3,2874.8,2762.6,2860.0
2017-08-03,2702.0,2813.0,2698.0,2790.3
2017-08-02,2733.8,2757.8,2640.0,2702.0
2017-08-01,2854.3,2901.6,2615.8,2731.2
2017-07-31,2748.9,2883.5,2694.8,2856.0
2017-07-30,2713.7,2756.2,2595.0,2749.0
2017-07-29,2784.8,2794.2,2662.6,2714.1
2017-07-28,2664.6,2819.9,2655.5,2784.8
2017-07-27,2527.7,2682.2,2511.0,2664.9
2017-07-26,2560.9,2612.0,2404.6,2525.7
2017-07-25,2769.7,2790.1,2435.7,2560.9
2017-07-24,2750.1,2812.0,2707.3,2769.7
2017-07-23,2845.7,2875.7,2656.2,2747.5
2017-07-22,2659.0,2912.9,2642.8,2845.7
2017-07-21,2874.5,2874.5,2615.0,2664.0
2017-07-20,2253.3,2919.9,2253.3,2856.3
2017-07-19,2302.2,2399.9,2214.2,2253.1
2017-07-18,2220.0,2380.2,2139.8,2302.1
2017-07-17,1925.0,2223.3,1924.1,2219.0
2017-07-16,1979.7,2048.8,1835.8,1924.9
2017-07-15,2206.5,2210.1,1975.7,1978.6
2017-07-14,2329.4,2345.6,2138.0,2205.1
2017-07-13,2375.6,2400.0,2293.8,2329.0
2017-07-12,2285.6,2394.0,2195.8,2374.4
2017-07-11,2318.3,2372.8,2183.3,2282.1
2017-07-10,2477.9,2498.1,2240.0,2318.3
2017-07-09,2542.0,2555.6,2473.7,2478.0
2017-07-08,2479.3,2542.6,2436.8,2542.0
2017-07-07,2593.2,2598.0,2447.0,2479.3
2017-07-06,2598.6,2603.3,2546.0,2593.1
2017-07-05,2579.9,2617.6,2482.5,2598.5
2017-07-04,2525.9,2628.0,2512.4,2582.6
2017-07-03,2445.1,2584.0,2416.2,2524.0
2017-07-02,2346.2,2470.0,2302.0,2445.0
2017-07-01,2420.6,2440.9,2291.0,2349.5
2017-06-30,2472.4,2511.1,2406.6,2420.7
2017-06-29,2518.2,2537.0,2424.1,2470.1
2017-06-28,2521.3,2561.1,2403.2,2518.2
2017-06-27,2393.5,2524.0,2208.1,2521.2
2017-06-26,2480.0,2510.4,2258.7,2394.6
2017-06-25,2502.6,2595.0,2369.1,2477.7
2017-06-24,2674.9,2700.0,2454.1,2502.6
2017-06-23,2672.8,2725.3,2652.8,2674.9
2017-06-22,2624.4,2709.0,2554.8,2672.8
2017-06-21,2715.3,2760.0,2573.3,2621.2
2017-06-20,2585.0,2779.6,2568.2,2712.2
2017-06-19,2494.9,2592.7,2481.4,2580.8
2017-06-18,2610.1,2635.0,2421.0,2491.5
2017-06-17,2435.5,2636.9,2368.7,2610.0
2017-06-16,2377.5,2480.0,2261.2,2437.0
2017-06-15,2394.3,2455.0,2050.0,2377.4
2017-06-14,2677.1,2720.0,2284.4,2395.0
2017-06-13,2570.0,2730.0,2532.6,2676.4
2017-06-12,2941.8,2961.9,2298.2,2571.8
2017-06-11,2806.0,3000.0,2793.8,2936.3
2017-06-10,2809.9,2890.5,2750.8,2806.0
2017-06-09,2781.5,2849.8,2769.6,2809.0
